pos,driver,team,bestLap,laps,gap,pts,fastestLap,penaltyDriver,penaltyReason,penaltyValue
1,Omar Y,Red Bull,1:12.987,15,-,80,Omar Y,,,
2,Salim K,Mercedes,1:13.112,15,+2.231,73,,,,
3,Aidan C,Ferrari,1:13.075,15,+3.542,66,,,,
4,Lea N,McLaren,1:13.980,15,+6.702,59,,,,
5,Imran B,Aston Martin,1:14.001,15,+10.554,54,,,,
6,Fatima M,Haas,1:14.265,15,+13.883,49,,,,
7,Tarek H,Ferrari,1:14.099,15,+17.203,45,,,,
8,Elias J,Williams,1:14.415,15,+21.711,41,,,,
9,Noura D,Mercedes,1:14.740,15,+27.314,37,,,,
10,Leo P,McLaren,1:14.990,15,+30.451,34,,,,
11,Mahdi A,Red Bull,1:15.153,15,+35.009,31,,,,
12,Ahmed Z,Haas,1:15.211,14,+1 Lap,28,,,,
13,Yusuf T,Aston Martin,1:15.603,14,+1 Lap,25,,,,
14,Noor R,Williams,1:15.721,13,+2 Laps,22,,,,
15,Samir E,Ferrari,1:16.105,12,+3 Laps,19,,,,
,,,,,,,,Tarek H,Track limits,+5s
,,,,,,,,Ahmed Z,Unsafe pit exit,+5s
